feature,importance
vph_pisoti,0.047724397575502
phog_ind,0.01470013769894
p15ym_an,0.009580400171687
vph_nodren,0.004679382534854
pe_inac,0.003734416137831
p3ym_hli,0.003730552709928
pea,0.003138793643131
pob_afro,0.002936317139824
p_3a5,0.002550961542141
vph_sinltc,0.002546423652951
vph_s_elec,0.002144359919384
pnacoe,0.001992642134542
p_18a24,0.001902859390468
p_6a11,0.001823439370182
p3hlinhe,0.001741076660913
pob0_14,0.0016977629429
p_15a17,0.001589248855792
presoe15,0.001371498229272
pdesocup,0.00135349897702
p_60ymas,0.001346602161253
vph_aguafv,0.001221054295168
vph_ndeaed,0.001169544929636
pocupada,0.001142209295971
pclim_pmen,0.001087871120693
p_0a2,0.001047908119546
p_12a14,0.000857611153771
prom_ocup,0.000680638055449
psinder,0.00055793527717
pcon_disc,0.000254552792862
